Symbol,Description,GICS sector,Category1,Category2,Category3,Market Cap,Average Volume,Actions,Industry
ACN,Accenture Plc Class A,Information Technology,US Equity,Common stocks,Large cap,"$189,735,762,837 ","1,768,691",Analyze,Information Technology Services
IBM,International Business Machines Co,Information Technology,US Equity,Common stocks,Large cap,"$133,358,638,543 ","4,092,890",Analyze,Information Technology Services
INFY,Infosys Ltd ADRs,Information Technology,US Equity,ADRs,Large cap,"$81,669,918,156 ","5,915,811",Analyze,Information Technology Services
FISV,Fiserv Inc,Information Technology,US Equity,Common stocks,Large cap,"$63,725,067,427 ","3,788,350",Analyze,Information Technology Services
FIS,Fidelity National Information Services,Information Technology,US Equity,Common stocks,Large cap,"$41,376,349,467 ","8,042,883",Analyze,Information Technology Services
CTSH,Cognizant Technology Solutions,Information Technology,US Equity,Common stocks,Large cap,"$30,650,274,204 ","4,225,092",Analyze,Information Technology Services
IT,Gartner Inc,Information Technology,US Equity,Common stocks,Large cap,"$27,484,679,364 ","410,390",Analyze,Information Technology Services
WIT,Wipro Ltd ADRs,Information Technology,US Equity,ADRs,Large cap,"$26,988,864,869 ","2,091,539",Analyze,Information Technology Services
CDW,CDW Corp,Information Technology,US Equity,Common stocks,Large cap,"$25,012,130,015 ","595,876",Analyze,Information Technology Services
EPAM,Epam Systems Inc,Information Technology,US Equity,Common stocks,Large cap,"$19,563,212,943 ","363,083",Analyze,Information Technology Services
GIB,CGI Group,Information Technology,US Equity,Common stocks,Large cap,"$18,010,365,446 ","129,765",Analyze,Information Technology Services
BR,Broadridge Financial Solutions Inc,Information Technology,US Equity,Common stocks,Large cap,"$16,863,537,446 ","611,486",Analyze,Information Technology Services
LDOS,Leidos Holdings Inc,Industrials,US Equity,Common stocks,Large cap,"$14,966,139,596 ","834,299",Analyze,Information Technology Services
FLT,Fleetcor Technologies Inc,Information Technology,US Equity,Common stocks,Large cap,"$13,672,212,868 ","510,952",Analyze,Information Technology Services
JKHY,"Jack Henry & Associates, Inc.",Information Technology,US Equity,Common stocks,Large cap,"$13,385,491,461 ","593,851",Analyze,Information Technology Services
SNX,Synnex Corp,Information Technology,US Equity,Common stocks,Mid cap,"$9,306,614,414 ","219,203",Analyze,Information Technology Services
G,Genpact Ltd,Information Technology,US Equity,Common stocks,Mid cap,"$8,263,109,307 ","841,202",Analyze,Information Technology Services
CACI,CACI International Inc,Industrials,US Equity,Common stocks,Mid cap,"$7,308,017,035 ","116,245",Analyze,Information Technology Services
DXC,DXC Technology Company,Information Technology,US Equity,Common stocks,Mid cap,"$6,398,113,852 ","1,509,729",Analyze,Information Technology Services
SAIC,Science Applications International,Industrials,US Equity,Common stocks,Mid cap,"$6,291,106,503 ","361,381",Analyze,Information Technology Services
CLVT,Clarivate Plc,Industrials,US Equity,Common stocks,Mid cap,"$6,135,718,170 ","7,075,429",Analyze,Information Technology Services
CNXC,Concentrix Corporation,Information Technology,US Equity,Common stocks,Mid cap,"$6,050,487,911 ","139,576",Analyze,Information Technology Services
DNB,"Dun & Bradstreet Holdings, Inc.",Industrials,US Equity,Common stocks,Mid cap,"$5,947,733,323 ","2,027,530",Analyze,Information Technology Services
EXLS,Exlservice Holdings Inc,Information Technology,US Equity,Common stocks,Mid cap,"$5,831,605,442 ","238,442",Analyze,Information Technology Services
